Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,2.633000,2.640500,2.626500,2.635000,2.635000,390
2019-10-22,2.631500,2.631500,2.620500,2.622000,2.622000,359
2019-10-23,2.620000,2.662500,2.619000,2.662500,2.662500,474
2019-10-24,2.667000,2.667000,2.655500,2.659000,2.659000,450
2019-10-25,2.660500,2.677500,2.660500,2.666500,2.666500,315
2019-10-27,null,null,null,null,null,null
2019-10-28,2.672500,2.675000,2.671500,2.672500,2.672500,491
2019-10-29,2.671000,2.682500,2.671000,2.682500,2.682500,637
2019-10-30,2.685000,2.686500,2.675000,2.680500,2.680500,780
2019-10-31,2.656500,2.661500,2.625000,2.633000,2.633000,500
2019-11-01,2.636000,2.656000,2.630000,2.651000,2.651000,875
2019-11-03,null,null,null,null,null,null
2019-11-04,2.661500,2.667000,2.661500,2.667000,2.667000,639
2019-11-05,2.697500,2.708500,2.691000,2.695000,2.695000,586
2019-11-06,2.670000,2.670000,2.661000,2.661000,2.661000,354
2019-11-07,2.724000,2.724000,2.718500,2.724000,2.724000,566
2019-11-08,2.698000,2.698000,2.678000,2.678000,2.678000,247
2019-11-10,null,null,null,null,null,null
2019-11-11,2.675000,2.675000,2.660000,2.660000,2.660000,476
2019-11-12,2.650000,2.652000,2.642000,2.642000,2.642000,361
2019-11-13,2.632500,2.636500,2.630000,2.636500,2.636500,535
2019-11-14,2.622000,2.622000,2.617500,2.618500,2.618500,398
2019-11-15,2.632000,2.635000,2.632000,2.635000,2.635000,569
2019-11-17,null,null,null,null,null,null
2019-11-18,2.631000,2.631000,2.616500,2.617500,2.617500,554
2019-11-19,2.650000,2.653500,2.642500,2.653500,2.653500,443
2019-11-20,2.647000,2.650000,2.646500,2.646500,2.646500,406
2019-11-21,2.624500,2.627500,2.621000,2.621000,2.621000,424
2019-11-22,2.613500,2.649000,2.613500,2.647500,2.647500,341
2019-11-24,null,null,null,null,null,null
2019-11-25,2.647500,2.647500,2.647500,2.647500,2.647500,261
2019-11-26,2.646000,2.674500,2.646000,2.674500,2.674500,54906
2019-11-27,2.675500,2.690500,2.664500,2.674500,2.674500,24176
2019-11-29,null,null,null,null,null,null
2019-12-01,null,null,null,null,null,null
2019-12-02,2.642500,2.658000,2.629500,2.632500,2.632500,907
